,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,color_num,cut_num,price_predicted
721,0.61,Ideal,H,SI1,61.9,54.0,5.44,5.48,3.38,3,5,1,1713.6147591945992
722,1.28,Very Good,F,SI2,62.5,55.0,6.91,7.0,4.35,2,3,3,6514.582367155455
723,0.7,Premium,E,VVS1,61.7,59.0,5.67,5.71,3.51,7,2,2,4860.284659398041
724,0.36,Ideal,F,SI1,60.1,56.0,4.62,4.67,2.79,3,3,1,763.090814267689
725,1.02,Very Good,E,VVS1,62.2,57.0,6.4,6.59,4.04,7,2,3,9846.986313550442
726,1.08,Ideal,G,VS2,60.3,59.0,6.62,6.64,4.0,4,4,1,7033.382112009567
727,0.58,Ideal,E,VS1,62.6,56.0,5.33,5.27,3.32,5,2,1,2508.2709495760973
728,0.3,Good,D,SI2,63.2,57.0,4.21,4.24,2.67,2,1,4,591.2618918861372
729,0.5,Very Good,E,VS2,63.2,56.0,5.06,5.03,3.19,4,2,3,1292.6636991094983
730,0.37,Premium,H,VS2,59.5,61.0,4.67,4.64,2.77,4,5,2,340.87932612411805
731,1.01,Ideal,I,SI1,60.6,57.0,6.51,6.56,3.96,3,6,1,4048.714227533659
732,0.4,Ideal,H,SI1,62.6,52.0,4.73,4.76,2.97,3,5,1,737.818586255713
733,1.51,Premium,H,SI2,62.4,58.0,7.36,7.31,4.58,2,5,2,8196.935897352443
734,1.41,Ideal,J,VS1,61.6,56.0,7.19,7.22,4.44,5,7,1,7566.688150413734
735,0.34,Ideal,H,VS2,62.6,54.0,4.45,4.5,2.8,4,5,1,577.6343602509951
736,0.3,Good,I,IF,63.3,56.0,4.21,4.26,2.68,8,6,4,578.678776890245
737,1.51,Very Good,G,SI1,59.6,60.0,7.43,7.47,4.44,3,4,3,10208.033924357924
738,0.7,Very Good,D,SI2,63.1,58.0,5.63,5.57,3.53,2,1,3,2032.3461527220788
739,0.8,Ideal,E,SI1,61.5,58.0,5.96,6.0,3.68,3,2,1,3424.7706099241914
740,1.11,Premium,H,SI2,61.5,59.0,6.67,6.63,4.09,2,5,2,4851.172383146164
741,0.25,Ideal,G,VS1,62.0,54.0,4.06,4.07,2.52,5,4,1,168.00735298621385
742,0.7,Ideal,E,SI2,61.2,55.0,5.76,5.68,3.5,2,2,1,1940.0027849428006
743,0.4,Premium,H,VS1,62.4,60.0,4.69,4.74,2.94,5,5,2,894.9871513066646
744,1.53,Premium,I,VS1,61.2,59.0,7.41,7.39,4.53,5,6,2,10014.164240403592
745,0.51,Good,J,VS2,63.1,56.0,5.1,5.13,3.23,4,7,4,496.6692444723485
746,0.31,Premium,H,IF,60.8,59.0,4.39,4.36,2.66,8,5,2,885.7265458591446
747,0.52,Ideal,I,SI1,61.8,56.0,5.15,5.18,3.19,3,6,1,1126.0868914755374
748,0.71,Premium,G,SI1,60.4,59.0,5.81,5.75,3.49,3,4,2,2137.1804951158338
749,1.67,Ideal,H,VS1,61.8,55.9,7.57,7.6,4.69,5,5,1,13181.726009305814
750,0.38,Very Good,E,VVS1,60.0,59.0,4.66,4.68,2.8,7,2,3,1260.7750989194901
751,0.3,Ideal,F,VVS1,61.8,57.0,4.3,4.34,2.67,7,3,1,876.1598028823428
752,0.56,Ideal,H,IF,61.3,56.0,5.32,5.35,3.27,8,5,1,2115.892764769691
753,1.52,Premium,I,SI1,58.1,62.0,7.61,7.56,4.41,3,6,2,8019.978591777016
754,1.11,Good,H,SI1,64.2,58.0,6.47,6.53,4.17,3,5,4,5593.33688811744
755,1.03,Premium,F,SI1,58.6,62.0,6.65,6.6,3.88,3,3,2,5040.429060093118
756,0.71,Very Good,G,SI1,62.3,57.0,5.7,5.76,3.57,3,4,3,2175.245621116106
757,1.21,Good,E,I1,63.3,63.0,6.67,6.72,4.24,1,2,4,4111.038074442471
758,0.57,Very Good,E,SI2,59.7,57.0,5.4,5.48,3.25,2,2,3,1330.5014447298727
759,0.42,Very Good,D,SI1,63.0,57.0,4.77,4.81,3.02,3,1,3,698.9131594002502
760,0.32,Ideal,E,VS2,62.7,55.0,4.38,4.36,2.74,4,2,1,868.2787378782614
761,0.36,Ideal,F,SI1,59.7,57.0,4.69,4.72,2.81,3,3,1,511.0604642092494
762,1.51,Premium,G,VS1,62.2,58.0,7.29,7.35,4.55,5,4,2,12626.011260745396
763,0.34,Premium,G,SI1,60.8,59.0,4.56,4.46,2.74,3,4,2,384.0061252253272
764,0.5,Good,H,VVS1,63.3,57.0,5.02,5.06,3.19,7,5,4,1355.144147760193
765,2.0,Fair,H,I1,69.8,54.0,7.6,7.56,5.29,1,5,5,6278.704285704783
766,1.45,Very Good,D,VVS2,62.0,56.0,7.25,7.32,4.52,6,1,3,18202.74215242925
767,1.0,Premium,G,IF,61.4,59.0,6.47,6.39,3.95,8,4,2,7921.656008932352
768,1.42,Very Good,G,VVS2,62.6,60.0,7.14,7.17,4.48,6,4,3,13045.15265213105
769,0.83,Very Good,F,SI1,62.1,58.0,5.98,6.06,3.74,3,3,3,3402.0365569123005
770,0.3,Very Good,F,SI2,62.6,61.0,4.2,4.24,2.64,2,3,3,-348.93882000535723
771,1.11,Very Good,E,SI2,61.7,63.0,6.65,6.54,4.07,2,2,3,4994.773846733388
772,0.34,Ideal,E,SI1,62.2,54.0,4.47,4.5,2.79,3,2,1,810.2171465601477
773,0.7,Very Good,D,SI1,59.4,63.0,5.76,5.78,3.43,3,1,3,2674.3488760675446
774,0.3,Very Good,H,VS1,63.3,56.0,4.3,4.26,2.71,5,5,3,183.62151215910126
775,0.5,Good,E,SI2,58.2,59.0,5.24,5.27,3.06,2,2,4,835.1868803690431
776,0.9,Fair,F,SI2,65.7,63.0,6.01,5.96,3.93,2,3,5,3169.2993621641644
777,0.7,Premium,D,SI2,60.6,58.0,5.75,5.7,3.47,2,1,2,2043.289490270994
778,0.34,Premium,D,SI2,60.6,60.0,4.53,4.48,2.73,2,1,2,519.9679324802983
779,1.0,Ideal,G,VVS2,60.8,57.0,6.45,6.47,3.93,6,4,1,7231.363242915725
780,0.42,Ideal,G,VVS1,62.0,56.0,4.81,4.84,2.99,7,4,1,1252.9544558474172
781,0.34,Very Good,H,VVS2,63.0,55.0,4.44,4.48,2.81,6,5,3,551.7058927444741
782,1.16,Ideal,G,SI2,61.9,56.0,6.77,6.73,4.18,2,4,1,5501.8952051738615
783,0.56,Premium,G,VS1,61.2,60.0,5.3,5.26,3.23,5,4,2,2131.3961771149084
784,0.34,Premium,E,SI1,61.9,59.0,4.48,4.44,2.76,3,2,2,780.9531901570517
785,0.31,Ideal,E,VVS1,61.7,56.0,4.33,4.36,2.68,7,2,1,1034.1715327095226
786,0.31,Ideal,F,VVS1,61.1,56.0,4.37,4.4,2.68,7,3,1,938.1179672230828
787,0.52,Premium,G,VS2,61.7,58.0,5.16,5.14,3.18,4,4,2,1549.0993694181811
788,1.04,Very Good,I,VS2,61.9,58.0,6.47,6.55,4.03,4,6,3,4644.679366298104
789,0.5,Very Good,E,VS1,62.7,56.0,5.09,5.12,3.2,5,2,3,1457.4254667523255
790,1.31,Premium,J,VS2,62.0,59.0,7.04,6.97,4.34,4,7,2,5911.133668709497
791,1.0,Very Good,E,SI1,59.6,60.0,6.43,6.48,3.85,3,2,3,5422.298445877893
792,0.32,Very Good,G,VS2,62.6,58.0,4.37,4.39,2.74,4,4,3,64.3236992044076
793,0.7,Very Good,I,VS2,62.2,59.0,5.64,5.71,3.53,4,6,3,2023.8879445912062
794,0.3,Ideal,F,VVS1,61.9,54.0,4.35,4.37,2.7,7,3,1,607.5362670769173
795,0.76,Ideal,J,SI1,62.9,54.0,5.82,5.85,3.67,3,7,1,2095.169809619776
796,0.51,Very Good,G,VVS2,63.5,55.0,5.09,5.05,3.22,6,4,3,1452.803201534729
797,1.01,Very Good,F,VS2,63.5,58.0,6.35,6.32,4.02,4,3,3,6159.450835460721
798,0.71,Ideal,H,VS1,61.7,55.0,5.73,5.75,3.54,5,5,1,2786.9786092677896
799,1.03,Ideal,D,SI1,62.4,57.0,6.47,6.44,4.03,3,1,1,5840.631087611646
800,0.84,Very Good,F,VVS2,60.4,62.0,6.1,6.15,3.7,6,3,3,5529.322542776454
801,0.76,Premium,E,SI2,60.8,57.0,5.89,5.85,3.57,2,2,2,2437.126077523495
802,1.03,Premium,J,VS1,61.8,58.0,6.51,6.41,3.99,5,7,2,4046.7160178646773
803,0.54,Ideal,E,SI1,61.3,56.0,5.22,5.25,3.21,3,2,1,1608.452843551082
804,0.46,Ideal,E,VS1,60.3,56.0,5.02,5.06,3.04,5,2,1,1100.4547835835947
805,1.04,Ideal,H,SI2,62.0,57.0,6.53,6.43,4.02,2,5,1,4513.26686428399
806,0.3,Ideal,D,VS2,61.5,55.0,4.35,4.3,2.66,4,1,1,823.8960523358692
807,1.14,Ideal,H,VS2,61.1,57.0,6.71,6.78,4.12,4,5,1,6792.942214706263
808,0.32,Premium,D,VS2,58.8,59.0,4.52,4.49,2.65,4,1,2,639.2597200534547
809,1.0,Premium,H,SI1,61.5,58.0,6.37,6.45,3.94,3,5,2,4729.508139002678
810,0.32,Premium,I,VVS1,60.1,61.0,4.45,4.4,2.66,7,6,2,736.9624289877902
811,0.41,Good,F,I1,63.8,57.0,4.72,4.69,3.0,1,3,4,538.14356647559
812,0.32,Ideal,I,VVS1,61.7,55.0,4.39,4.4,2.71,7,6,1,745.96816154308
813,0.9,Ideal,G,VS1,61.6,55.0,6.27,6.23,3.85,5,4,1,5468.461046129136
814,0.7,Premium,F,SI1,59.4,60.0,5.77,5.74,3.42,3,3,2,2338.8723566682274
815,0.3,Very Good,D,SI1,58.8,57.0,4.4,4.44,2.6,3,1,3,504.77404935075356
816,0.31,Premium,H,VVS1,61.9,58.0,4.34,4.32,2.68,7,5,2,799.2761213735521
817,0.71,Premium,D,SI1,61.3,58.0,5.73,5.75,3.52,3,1,2,2781.976427462836
818,0.7,Very Good,E,SI2,62.0,60.0,5.67,5.72,3.53,2,2,3,2041.4860456487131
819,0.32,Ideal,G,VVS1,61.7,56.0,4.37,4.41,2.71,7,4,1,942.8453685353543
820,0.91,Premium,F,SI2,60.8,59.0,6.28,6.25,3.81,2,3,2,3574.2967885632806
821,0.91,Ideal,E,SI1,61.2,58.0,6.24,6.3,3.84,3,2,1,4390.514856343963
822,1.5,Premium,E,VS1,62.5,58.0,7.28,7.21,4.53,5,2,2,15399.224564130307
823,0.9,Ideal,H,SI2,62.1,55.0,6.17,6.2,3.84,2,5,1,3496.6600696384858
824,0.77,Very Good,D,SI1,62.1,58.0,5.84,5.89,3.64,3,1,3,3170.08472006961
825,0.43,Premium,F,VS2,61.0,57.0,4.87,4.84,2.96,4,3,2,1003.2118625669846
826,0.32,Ideal,I,VVS2,62.0,54.9,4.36,4.39,2.71,6,6,1,833.1953651825988
827,0.6,Ideal,G,VVS2,61.4,59.0,5.37,5.41,3.31,6,4,1,2793.112815673936
828,1.72,Good,J,SI2,63.2,57.0,7.56,7.6,4.79,2,7,4,8334.661247077816
829,0.32,Premium,J,VS1,61.9,58.0,4.39,4.33,2.7,5,7,2,566.1529027683464
830,1.23,Ideal,J,SI1,63.1,58.0,6.8,6.74,4.27,3,7,1,5217.564369438474
831,1.67,Ideal,H,SI1,61.6,55.0,7.68,7.62,4.71,3,5,1,11182.74910822267
832,0.4,Good,E,SI1,63.5,55.0,4.67,4.71,2.98,3,2,4,520.8952441144775
833,0.41,Ideal,F,VS1,60.6,57.0,4.84,4.79,2.92,5,3,1,977.0273826343546
834,1.24,Good,G,VS2,61.3,57.0,6.78,6.88,4.19,4,4,4,8532.89857790068
835,0.41,Very Good,H,VS2,60.0,57.0,4.92,4.88,2.94,4,5,3,168.38473073157456
836,0.32,Very Good,I,VS2,63.0,55.0,4.34,4.39,2.75,4,6,3,637.9059952859207
837,0.37,Very Good,E,VS2,61.8,59.0,4.56,4.6,2.83,4,2,3,760.1478230292687
838,1.01,Good,F,VS2,60.6,62.0,6.52,6.49,3.94,4,3,4,5915.1048175791075
839,1.18,Ideal,F,VVS1,61.5,55.6,6.79,6.83,4.19,7,3,1,12126.327409928608
840,0.32,Good,F,SI1,63.2,55.0,4.37,4.4,2.77,3,3,4,293.2187761391051
841,0.75,Ideal,I,VS1,61.1,59.0,5.85,5.87,3.58,5,6,1,2631.3304318680875
842,0.3,Very Good,G,VVS2,61.6,56.0,4.27,4.3,2.64,6,4,3,681.0457480274163
843,0.7,Very Good,D,VS1,61.6,58.0,5.67,5.73,3.51,5,1,3,3468.3706792169905
844,1.06,Very Good,I,VS1,58.5,58.3,6.66,6.79,3.94,5,6,3,5049.882111294702
845,1.08,Premium,E,SI2,60.8,59.0,6.57,6.62,4.01,2,2,2,5297.8292055938955
846,0.26,Ideal,G,IF,61.7,54.0,4.15,4.18,2.57,8,4,1,638.5889436736343
847,0.3,Very Good,H,VVS1,63.3,59.0,4.28,4.22,2.69,7,5,3,681.3101679430256
848,0.72,Ideal,F,SI2,61.9,54.0,5.83,5.73,3.57,2,3,1,2367.4398710551986
849,0.38,Ideal,D,VS1,62.2,57.0,4.66,4.63,2.89,5,1,1,1010.4338392166683
850,0.81,Premium,F,SI1,61.9,58.0,5.99,5.96,3.7,3,3,2,3206.7465356811426
851,1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,2,5,3,7450.8335851199245
852,1.01,Good,F,SI2,62.5,59.0,6.31,6.37,3.96,2,3,4,4124.246891750206
853,1.24,Fair,G,SI2,65.7,57.0,6.72,6.68,4.4,2,4,5,5538.668374530259
854,0.72,Very Good,G,SI2,62.5,56.0,5.68,5.71,3.56,2,4,3,2057.2950204532035
855,0.51,Ideal,F,VS1,60.4,56.0,5.18,5.21,3.14,5,3,1,1616.4789121736449
856,0.33,Ideal,J,VVS1,62.1,54.0,4.45,4.47,2.77,7,7,1,545.1388055925963
857,2.03,Ideal,G,SI1,60.0,55.8,8.17,8.3,4.95,3,4,1,16824.841454664536
858,0.39,Very Good,J,VVS1,57.8,59.0,4.85,4.9,2.82,7,7,3,630.3783192798273
859,0.3,Very Good,G,VS2,60.8,61.0,4.31,4.34,2.63,4,4,3,-64.60280650872483
860,0.55,Ideal,D,VS2,58.5,58.0,5.42,5.39,3.16,4,1,1,1908.430541780901
861,1.0,Premium,E,I1,62.3,58.0,6.38,6.33,3.96,1,2,2,3093.184793256694
862,2.0,Good,I,VS2,63.6,60.0,8.03,7.95,5.08,4,6,4,14380.478342866816
863,1.0,Good,D,SI1,63.8,53.0,6.35,6.4,4.07,3,1,4,4972.969153541328
864,0.32,Ideal,J,VS1,62.0,54.7,4.39,4.42,2.73,5,7,1,641.254638042712
865,0.4,Premium,G,VS1,60.7,58.0,4.81,4.78,2.91,5,4,2,748.0708083465279
866,1.01,Good,D,SI1,64.1,60.0,6.3,6.27,4.03,3,1,4,5387.619689733479
867,0.3,Very Good,H,SI1,63.0,54.0,4.27,4.3,2.7,3,5,3,373.20732446324655
868,0.7,Very Good,H,SI1,58.5,65.0,5.81,5.84,3.41,3,5,3,1788.9745820092412
869,0.71,Very Good,E,VVS1,62.8,59.0,5.66,5.71,3.57,7,2,3,4655.439954947775
870,0.83,Ideal,E,SI1,61.5,55.0,6.05,6.08,3.73,3,2,1,3640.885386649241
871,0.31,Ideal,I,VVS1,62.1,56.0,4.38,4.35,2.71,7,6,1,651.6324782555694
872,0.71,Premium,E,VS2,62.1,59.0,5.68,5.72,3.54,4,2,2,3164.0209743560845
873,0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,5,5,3,4386.96241349486
874,0.9,Premium,G,VS2,62.0,60.0,6.19,6.14,3.82,4,4,2,5015.041713348015
875,0.41,Premium,G,VS1,61.9,60.0,4.76,4.7,2.93,5,4,2,919.1594929436333
876,0.41,Premium,F,VVS2,60.1,59.0,4.79,4.82,2.89,6,3,2,1263.3974234640827
877,0.7,Very Good,F,SI1,59.2,60.0,5.77,5.79,3.42,3,3,3,2190.1408150839943
878,1.02,Ideal,I,VS2,62.7,56.0,6.37,6.43,4.01,4,6,1,4731.262117646367
879,0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,2,4,1,2391.667172316289
880,0.51,Ideal,D,VS2,62.7,55.0,5.12,5.09,3.2,4,1,1,1689.8600969643958
881,1.03,Ideal,G,VVS2,61.6,56.0,6.48,6.5,4.0,6,4,1,7597.906605740441
882,0.9,Very Good,G,VVS1,62.3,58.0,6.14,6.21,3.85,7,4,3,6122.824571921704
883,0.3,Ideal,D,VS2,61.1,56.0,4.36,4.32,2.65,4,1,1,819.0144018737428
884,1.05,Very Good,G,VS2,61.7,55.0,6.5,6.56,4.03,4,4,3,6444.354738547915
885,1.3,Ideal,H,VVS2,61.5,55.0,7.07,7.03,4.34,6,5,1,8857.084377165767
886,0.36,Ideal,G,VVS1,62.8,57.0,4.55,4.52,2.85,7,4,1,1139.8275690806986
887,0.51,Very Good,G,VVS1,62.9,57.0,5.08,5.12,3.21,7,4,3,1875.3118112451502
888,1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1,2,7,3,3304.131739005
889,2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,4,6,2,17187.682035508806
890,0.3,Ideal,F,IF,62.1,57.0,4.29,4.31,2.67,8,3,1,973.2307954598691
891,0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68,6,2,3,617.2624741182317
892,1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,2,1,2,8450.125537082993
893,0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18,5,4,1,2125.6073921105144
894,0.58,Very Good,E,SI1,59.6,57.0,5.41,5.42,3.23,3,2,3,1642.649752505231
895,2.01,Premium,I,SI1,61.3,60.0,8.09,8.05,4.95,3,6,2,14082.790926283767
896,0.43,Very Good,D,SI1,62.9,56.0,4.78,4.83,3.02,3,1,3,866.0536028507522
897,2.3,Ideal,H,SI2,61.6,56.0,8.48,8.52,5.24,2,5,1,15421.679959416942
898,0.91,Premium,I,VS1,61.9,57.0,6.24,6.19,3.85,5,6,2,3571.329081699365
899,0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,2,3,1,385.93970094177257
900,1.0,Ideal,E,SI1,61.6,57.0,6.37,6.45,3.95,3,2,1,5472.808193770812
901,0.41,Premium,G,VS2,61.9,59.0,4.77,4.73,2.94,4,4,2,734.0405664355139
902,0.35,Ideal,H,VVS1,60.5,57.0,4.58,4.59,2.77,7,5,1,850.8901931097625
903,1.1,Very Good,G,IF,60.5,55.0,6.77,6.71,4.08,8,4,3,8982.079368841914
904,0.3,Premium,G,SI1,62.5,61.0,4.29,4.26,2.67,3,4,2,560.3426651818445
905,0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,6,4,1,684.6107301818192
906,0.94,Premium,F,SI2,62.4,58.0,6.23,6.17,3.87,2,3,2,4048.6476235067794
907,0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,2,4,4,1137.6938186548186
908,0.7,Very Good,F,SI1,60.6,60.0,5.71,5.75,3.47,3,3,3,2273.8663823877123
909,0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,4,5,1,221.42167703417
910,0.57,Very Good,E,VS2,59.5,56.0,5.45,5.47,3.25,4,2,3,1409.021608376037
911,0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,3,6,2,1762.7470242847703
912,0.79,Ideal,H,VVS2,62.0,55.9,5.88,5.95,3.67,6,5,1,3790.1157760014858
913,0.3,Premium,G,VS1,59.6,59.0,4.38,4.34,2.6,5,4,2,241.6418176001598
914,0.52,Premium,E,VS2,61.6,59.0,5.16,5.14,3.17,4,2,2,1634.155013227657
915,1.22,Very Good,F,VVS2,60.7,62.0,6.81,6.84,4.14,6,3,3,11937.665451448485
916,1.0,Good,D,SI1,64.9,53.0,6.27,6.3,4.08,3,1,4,5103.514079161732
917,0.3,Good,H,VVS1,63.4,57.0,4.27,4.31,2.72,7,5,4,407.22117717557376
918,0.3,Good,E,VS2,64.2,57.0,4.24,4.13,2.69,4,2,4,772.8047680818672
919,0.51,Premium,E,VS2,60.5,56.0,5.24,5.18,3.15,4,2,2,1310.0979159571016
920,1.22,Ideal,H,VVS2,62.7,54.0,6.77,6.83,4.27,6,5,1,8206.174586243575
921,0.56,Ideal,D,VS2,61.2,56.0,5.3,5.35,3.26,4,1,1,2064.641759765069
922,0.53,Ideal,E,VS2,61.4,56.0,5.18,5.25,3.2,4,2,1,1639.8393156499424
923,0.58,Ideal,E,VS2,61.8,57.0,5.32,5.36,3.3,4,2,1,2135.522178367204
924,0.73,Premium,I,VS1,61.2,59.0,5.84,5.82,3.57,5,6,2,2109.1527939048356
925,1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,1,3,1,3623.677519226267
926,0.7,Very Good,F,VS1,60.5,57.0,5.77,5.8,3.5,5,3,3,2804.9853654938124
927,0.59,Ideal,D,IF,60.7,58.0,5.45,5.49,3.32,8,1,1,4338.360532112834
928,0.5,Ideal,G,VVS1,62.2,55.0,5.09,5.11,3.17,7,4,1,1845.2498626312317
929,1.07,Very Good,G,VVS2,62.8,57.0,6.46,6.56,4.09,6,4,3,7885.259136532417
930,0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,6,4,1,1294.614639294432
931,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,5,4,1,223.04111165216455
932,1.51,Premium,H,VS1,61.0,60.0,7.29,7.34,4.46,5,5,2,11386.713948405686
933,1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26,2,4,2,6260.17626895799
934,0.53,Ideal,G,VVS1,61.4,57.0,5.18,5.21,3.19,7,4,1,2163.5955558479945
935,0.43,Ideal,F,VVS2,61.9,56.0,4.84,4.82,2.99,6,3,1,1423.7031131455187
936,0.4,Premium,G,VS1,61.3,60.0,4.71,4.66,2.87,5,4,2,937.9955626928759
937,0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,2,3,3,3465.593045649496
938,2.07,Fair,D,SI2,64.5,60.0,7.99,7.88,5.12,2,1,5,14939.558316616716
939,1.51,Premium,G,VS2,59.2,61.0,7.48,7.44,4.42,4,4,2,11490.095001274072
940,0.32,Ideal,F,SI1,61.6,55.0,4.41,4.45,2.73,3,3,1,745.719533788395
941,0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,3,2,2,942.730123120713
942,0.9,Good,G,VS1,61.0,62.0,6.16,6.24,3.78,5,4,4,5212.216350154691
943,0.71,Fair,D,SI1,66.3,56.0,5.61,5.49,3.68,3,1,5,2106.948179165387
944,1.21,Good,H,SI1,63.8,64.0,6.72,6.63,4.26,3,5,4,6256.515827851749
945,0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,3,2,2,725.776927306204
946,0.7,Very Good,F,VS2,61.7,63.0,5.61,5.64,3.47,4,3,3,3092.3123793365357
947,0.42,Ideal,E,VS1,61.6,57.0,4.8,4.84,2.97,5,2,1,1236.8648976349687
948,0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77,2,4,3,2977.5371803371245
949,1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,2,5,2,3880.2352654595275
950,1.09,Ideal,I,VS2,61.8,57.0,6.55,6.59,4.06,4,6,1,5371.759793942869
951,0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,7,6,2,1656.8786132968671
952,1.01,Fair,E,VS2,66.6,55.0,6.27,6.2,4.15,4,2,5,6278.112719635266
953,2.02,Premium,J,VS2,62.0,59.0,8.06,8.08,5.0,4,7,2,12769.095198155186
954,0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,2,2,3,698.3756374580062
955,1.03,Very Good,D,SI2,61.3,61.0,6.46,6.49,3.97,2,1,3,4716.850922226084
956,0.62,Premium,G,VS2,61.1,59.0,5.56,5.5,3.38,4,4,2,2197.253787568288
957,0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,3,7,4,1949.9319260247084
958,0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,2,3,2,3507.980895180005
959,2.04,Very Good,I,SI1,63.1,58.0,8.06,7.99,5.06,3,6,3,14352.55666592586
960,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,2,1,4,3252.098330676501
961,1.11,Ideal,H,SI1,61.6,56.0,6.69,6.73,4.07,3,5,1,5618.05957838724
962,0.51,Ideal,F,VVS1,61.4,56.0,5.15,5.17,3.17,7,3,1,2198.1980163896787
963,0.28,Good,F,VVS2,64.9,57.0,4.13,4.16,2.69,6,3,4,136.97332271480627
964,0.52,Very Good,E,VS2,62.5,56.0,5.15,5.18,3.23,4,2,3,1210.1743209643064
965,1.2,Ideal,F,VS2,62.3,56.0,6.82,6.79,4.24,4,3,1,8887.091023083965
966,0.29,Ideal,F,VS2,61.6,56.0,4.28,4.32,2.65,4,3,1,721.8583690039941
967,1.52,Very Good,I,VS2,63.3,61.0,7.27,7.23,4.59,4,6,3,9296.219011292585
968,1.01,Good,D,SI1,63.1,60.0,6.32,6.39,4.01,3,1,4,5407.685501149555
969,1.2,Ideal,F,SI1,61.5,53.0,6.87,6.9,4.24,3,3,1,7065.687055359313
970,0.5,Ideal,F,VVS2,62.2,54.0,5.07,5.12,3.17,6,3,1,1820.2125051628936
971,0.35,Ideal,E,VS2,61.6,56.0,4.54,4.52,2.79,4,2,1,916.4226421173862
972,0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,4,2,1,1688.3940365671697
973,0.55,Ideal,F,VS2,60.9,57.0,5.3,5.34,3.24,4,3,1,1682.9667497226474
974,2.07,Ideal,J,VVS2,62.7,54.0,8.17,8.12,5.11,6,7,1,15110.577358182976
975,2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,2,2,2,14769.154454503903
976,0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,2,1,3,576.5694882424868
977,0.74,Ideal,G,VVS2,60.9,58.0,5.85,5.88,3.57,6,4,1,3932.534406758512
978,1.02,Very Good,G,SI1,63.0,55.0,6.4,6.45,4.05,3,4,3,4738.3901806399535
979,2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,5,6,2,15708.499717351839
980,1.51,Premium,J,VVS2,62.6,59.0,7.33,7.31,4.58,6,7,2,8781.544718341976
981,0.3,Ideal,F,SI1,60.6,57.0,4.34,4.37,2.64,3,3,1,751.2002109244204
982,0.57,Ideal,E,VS1,61.0,56.0,5.38,5.4,3.29,5,2,1,1997.5776910559598
983,2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,3,6,1,16117.191180430054
984,0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,2,3,2,4110.520789909094
985,1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,2,1,2,6015.910107017339
986,0.26,Ideal,G,SI1,62.2,54.0,4.11,4.12,2.56,3,4,1,773.8757560151262
987,1.51,Premium,G,VS2,62.5,59.0,7.34,7.28,4.57,4,4,2,11661.987558228655
988,0.31,Ideal,E,VS2,60.5,56.0,4.41,4.38,2.66,4,2,1,815.0065580910377
989,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,2,5,2,2436.9224832739314
990,0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,2,4,2,1969.533382206033
991,0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,5,3,4,1712.5579811308526
992,0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,6,4,1,789.8493837723163
993,0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,6,4,1,1792.9680783299682
994,0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,8,4,1,1673.3940640312885
